id,name,party,sex,age,win,region,pr,rows,popcom,unpopcom
213,Lee Yongsub,2,0,59,1,1,0,9,1,0
214,Hong Youngpyo,2,0,53,1,0,0,9,0,1
215,Rho Yongmin,2,0,53,2,0,0,9,0,0
216,Joo Sungyoung,1,0,52,2,1,0,10,0,1
217,Jeong Gahpyoon,1,0,60,3,1,0,10,0,0
218,Ahn Sangsoo,1,0,64,4,0,0,10,1,1
219,Kim Youngsun,1,1,50,4,0,0,10,0,0
220,Park Geunhye,1,1,58,4,1,0,10,0,0
221,Lee Haebong,1,0,68,4,1,0,10,1,0
222,Jeong Euihwa,1,0,62,4,1,0,10,1,0
223,Nam Gyungphil,1,0,45,4,0,0,10,1,0
224,Won Heeryong,1,0,46,3,0,0,10,0,0
225,Hong Joonpyo,1,0,56,4,0,0,10,0,0
226,Hwang Wooyeo,1,0,63,4,0,0,10,1,0
227,Lee Jooyoung,1,0,59,3,1,0,10,0,1
228,Kim Junggwon,1,0,50,2,1,0,10,1,0
229,Kim Hyungoh,1,0,63,5,1,0,10,0,0
230,Lee Sangdeuk,1,0,75,6,1,0,10,1,0
231,Jeong Mongjoon,1,0,59,6,0,0,10,1,0
232,Lee Yoonsung,1,0,66,4,0,0,10,0,0
233,Lee Jaeoh,1,0,65,4,0,0,10,0,0
234,Lee Gyungjae,1,0,69,4,0,0,10,0,0
235,Jeong Byunggook,1,0,52,3,0,0,10,0,0
236,Cho Baesok,2,1,54,3,1,0,10,0,0
237,Park Eunsoo,2,0,54,1,0,1,10,0,1
238,Park Joosun,2,0,61,2,1,0,10,1,0
239,Cheon Jeongbae,2,0,56,4,0,0,10,0,0
240,Jeong Segyun,2,0,60,4,1,0,10,1,0
241,Jeong Dongyoung,2,0,57,3,1,0,10,1,0
242,Kim Jinpyo,2,0,63,2,0,0,10,1,0
243,Son Hakgyu,2,0,63,3,0,0,10,0,0
